City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
166,dergachi,51.2328,48.7659,10.5,63,1,1.85,RU,2023-04-23
167,moranbah,-22.0016,148.0466,18.27,67,3,9.94,AU,2023-04-23
168,novohrad-volynskyi,50.5941,27.6165,8.89,71,57,2.96,UA,2023-04-23
169,tolanaro,-25.0319,46.9987,24.04,83,20,3.09,MG,2023-04-23
170,remire-montjoly,4.9167,-52.2667,25.02,94,0,1.54,GF,2023-04-23
171,masterton,-40.9597,175.6575,13.27,78,95,5.49,NZ,2023-04-23
172,laibin,23.7,109.2667,17.61,93,100,5.69,CN,2023-04-23
173,shibganj,24.6829,88.1598,22.02,75,20,2.93,BD,2023-04-23
174,byron bay,-28.65,153.6167,21.87,63,89,8.07,AU,2023-04-23
175,chonchi,-42.6128,-73.8092,11.56,93,72,0.46,CL,2023-04-23
176,ilulissat,69.2167,-51.1,0.01,100,100,2.06,GL,2023-04-23
177,magistral'nyy,56.1725,107.4458,-7.66,93,29,0.86,RU,2023-04-23
178,nova sintra,14.8667,-24.7167,20.37,75,4,11.13,CV,2023-04-23
179,ulladulla,-35.35,150.4667,16.07,81,66,2.2,AU,2023-04-23
180,karratha,-20.7377,116.8463,26.12,61,86,1.26,AU,2023-04-23
181,hanchuan,30.65,113.7667,11.06,92,100,5.12,CN,2023-04-23
182,chita,52.0333,113.55,-4.06,39,0,2.0,RU,2023-04-23
183,aghajari,30.7006,49.8315,25.81,29,2,2.21,IR,2023-04-23
184,filadelfia,39.9523,-75.1638,18.41,43,75,8.75,US,2023-04-23
185,marineo,37.95,13.4169,16.55,71,48,3.1,IT,2023-04-23
186,kota kinabalu,5.9749,116.0724,24.99,83,20,2.68,MY,2023-04-23
187,santiago de compostela,42.8805,-8.5457,14.46,95,100,3.6,ES,2023-04-23
188,lubang,13.8584,120.124,27.83,79,66,7.93,PH,2023-04-23
189,cherdyn',60.403,56.4787,-1.47,84,70,1.01,RU,2023-04-23
190,butte,39.6499,-121.5677,27.01,30,0,3.09,US,2023-04-23
191,saipan,15.1355,145.701,28.39,100,40,7.2,MP,2023-04-23
192,brisas de zicatela,15.8369,-97.0419,30.29,62,20,5.14,MX,2023-04-23
193,kalundborg,55.6795,11.0886,11.08,83,100,4.76,DK,2023-04-23
194,clayton,33.5335,-84.3666,22.62,39,75,6.17,US,2023-04-23
195,lihue,21.9789,-159.3672,26.58,77,20,2.57,US,2023-04-23
196,vadso,70.0744,29.7487,-1.91,80,20,10.29,NO,2023-04-23
197,kupang,-10.1667,123.5833,23.32,100,20,0.51,ID,2023-04-23
198,susuman,62.7833,148.1667,-4.96,79,100,5.55,RU,2023-04-23
199,libreville,0.3925,9.4537,26.65,79,87,1.05,GA,2023-04-23
200,ulanhot,46.0833,122.0833,3.28,18,2,1.81,CN,2023-04-23
201,isangel,-19.55,169.2667,29.06,79,20,1.54,VU,2023-04-23
202,elliot lake,46.3834,-82.6331,2.43,98,100,2.01,CA,2023-04-23
203,al bardiyah,31.7561,25.0865,17.32,79,0,6.14,LY,2023-04-23
204,udachny,66.4167,112.4,-12.03,98,100,0.74,RU,2023-04-23
205,nago,26.5881,127.9761,22.47,79,58,4.41,JP,2023-04-23
206,bredasdorp,-34.5322,20.0403,18.12,82,100,2.82,ZA,2023-04-23
207,dame-marie,18.5667,-74.4167,26.35,64,2,4.91,HT,2023-04-23
208,quellon,-43.1167,-73.6167,10.14,87,0,0.0,CL,2023-04-23
209,al ghayzah,16.2079,52.176,27.71,72,0,3.82,YE,2023-04-23
210,san antonio de pale,-1.4014,5.6325,27.85,74,29,2.58,GQ,2023-04-23
211,maputo,-25.9653,32.5892,21.79,87,20,2.57,MZ,2023-04-23
212,punta arenas,-53.15,-70.9167,7.06,65,0,3.09,CL,2023-04-23
213,isafjordur,66.0755,-23.124,0.88,67,65,2.22,IS,2023-04-23
214,ubinskoye,55.3068,79.6802,7.9,58,100,6.17,RU,2023-04-23
215,sao tome,0.3365,6.7273,27.39,80,59,3.26,ST,2023-04-23
216,queenstown,-31.8976,26.8753,14.52,63,98,0.14,ZA,2023-04-23
217,pengcheng,36.4311,114.17,6.54,93,100,1.95,CN,2023-04-23
218,entebbe,0.0644,32.4469,19.33,93,100,5.54,UG,2023-04-23
219,mili,6.0815,171.735,28.1,80,85,9.0,MH,2023-04-23
220,grand falls-windsor,48.9332,-55.6649,1.95,93,100,1.34,CA,2023-04-23
221,vilyuchinsk,52.9306,158.4028,3.15,73,100,5.74,RU,2023-04-23
222,yemva,62.59,50.8594,-1.52,82,82,1.7,RU,2023-04-23
223,alice springs,-23.7,133.8833,10.75,82,0,2.14,AU,2023-04-23
224,macaubas,-13.0194,-42.6986,24.66,51,37,5.34,BR,2023-04-23
225,cockburn town,21.4612,-71.1419,22.98,73,40,0.0,TC,2023-04-23
226,port alfred,-33.5906,26.891,20.79,66,97,3.51,ZA,2023-04-23
227,yoko,5.5333,12.3167,20.25,90,98,0.96,CM,2023-04-23
228,al qubbah,32.7616,22.2424,12.39,85,0,3.19,LY,2023-04-23
229,lazaro cardenas,17.9583,-102.2,28.3,59,5,3.74,MX,2023-04-23
230,trujillo,-8.116,-79.03,24.98,73,20,4.63,PE,2023-04-23
231,puerto del rosario,28.5004,-13.8627,18.86,68,20,6.17,ES,2023-04-23
232,lulea,65.5842,22.1547,-0.96,64,0,1.54,SE,2023-04-23
233,pipar,26.3856,73.5378,23.33,19,0,1.61,IN,2023-04-23
234,coahuayana de hidalgo,18.7,-103.6583,29.29,59,35,2.91,MX,2023-04-23
235,freetown,8.484,-13.2299,27.03,79,1,4.64,SL,2023-04-23
236,kill devil hills,36.0307,-75.676,18.01,57,0,3.6,US,2023-04-23
237,salekhard,66.53,66.6019,-6.4,80,100,7.42,RU,2023-04-23
238,hawaiian paradise park,19.5933,-154.9731,27.73,80,40,7.2,US,2023-04-23
